genre,year,budget(M$),rating %
action,2008,28,48
action,2009,200,63
action,2008,32,57
action,2010,20,52
adventure,2009,18,84
adventure,2010,105,44
comedy,2010,20,70
comedy,2008,8,81
comedy,2009,30,71
